Delta,Theta,Alpha,Beta,Gamma,Extra
3915.156086,3693.961941,2108.896831,2553.838802,1391.188397,180.3556927
5830.907059,12113.26977,3649.6116,4795.814136,1635.391003,251.3806744
3862.737157,4375.148996,2399.609945,2685.386514,1396.986829,148.3091313
3004.600258,2298.911808,2302.667287,3101.481268,1968.357694,149.9744874
8926.053053,9596.52208,3328.24049,1965.488119,1529.53191,84.17621947
5032.12351,2969.714005,3159.61671,2708.255056,1100.709679,85.75507658
5556.163973,5188.587367,3271.854592,3088.058695,1622.174885,231.7944841
4969.162381,2966.832018,2424.661746,2536.430566,1862.111506,103.8594055
3685.66157,7932.485215,3463.36404,3098.910199,1442.147725,182.6903778
13970.80499,18825.32954,7162.513581,3330.560384,1099.905881,141.9796358
17169.47334,12859.85437,6140.930548,3047.71431,1210.3129,311.7375391
12340.72268,14173.9066,5750.484489,2957.276391,1243.160203,156.8500449
17158.79067,10664.80131,7473.307656,2716.572431,1087.124071,154.8631088
15069.58662,20809.84775,4813.258805,3648.648354,2751.209793,316.9323494
5857.081048,8461.136401,3839.723095,3351.743272,2262.148974,133.8447122
4244.697807,6293.568265,3671.904626,2750.819336,2025.994402,173.3538996
3955.30447,3472.841531,1581.388414,1738.458244,1446.46513,125.9295381
955.4272606,2166.650808,998.8202972,1072.160091,1315.275614,59.98939472
3215.431028,7016.802057,3800.477205,2863.486296,1181.026255,145.8166272
2170.435884,2995.829878,1392.688176,2703.488853,1783.714497,109.8939929
4030.075451,3653.640048,1053.651994,3464.713087,1769.84151,136.6384652
3074.866064,5663.441155,4292.592946,2891.21673,1280.125616,146.5625843
1945.307824,3028.370693,2113.157843,2604.243257,1122.163413,185.374289
1770.367533,4256.085382,2649.716069,2171.301573,1275.374745,81.95383254
2109.830725,2510.454547,1585.524766,1800.675382,1291.17249,135.0835008
1513.958471,3307.125793,1750.536407,3298.948893,1611.384794,97.54294925
1391.80097,3509.309871,1864.073409,2736.552604,1562.538562,127.9061642
1835.284293,5673.180611,4235.359971,2905.132505,1355.770738,167.2261773
5078.20041,7464.399095,4027.189582,2738.227749,1429.810217,117.0514598
2641.704386,4048.601566,2882.540964,2757.040359,1077.123888,129.5929913
1981.699724,3312.102357,1743.596448,2033.921128,1019.078189,176.5130733
7119.13857,8600.167513,3310.229821,2195.20721,1107.032391,236.0338792
2592.931335,5995.305886,3264.022049,3237.761764,1438.574574,259.884241
6641.426734,4608.891403,2132.058023,2815.286233,1144.754432,180.1758132
2751.096681,7121.022291,1503.283038,2433.056146,1348.974275,125.4713434
3137.90058,2869.368271,2387.979188,2250.89401,1297.599558,154.1763495
3175.825361,4708.809715,2258.233446,2411.571467,1429.95946,138.3983478
