Delta,Theta,Alpha,Beta,Gamma,Extra
2716.154389,5488.42052,4473.46901,2313.812991,1293.820376,113.0612379
2444.921011,5724.786999,2910.361803,3206.501598,1522.055877,78.39579199
441.3286525,2369.378716,1242.516913,1503.886974,1078.787611,95.25270365
1794.65799,3687.11268,2177.777309,2377.102286,1348.051932,91.67279091
1793.289771,2334.19133,1601.447799,2272.207341,867.9240023,115.0572551
4928.818624,3710.970121,2912.374901,3301.857301,1061.539344,267.6459824
3542.041572,4011.847108,2423.92739,1285.130396,1405.166875,136.0818842
5683.795724,5983.938953,2458.065354,2989.424588,1800.053717,129.3381846
1617.977903,3404.31658,1851.64336,1644.623854,1066.391702,79.90686932
2568.727307,3640.367851,1966.333864,2285.209784,1268.488239,98.10670427
3302.72774,3501.948822,3967.258332,3757.92073,1733.087709,165.6276373
7278.459807,5486.97043,3041.708757,2202.395868,1463.539046,320.7170283
2587.369576,4794.727409,2892.162581,2573.255087,1147.716356,132.9141175
5679.533494,9262.36284,3807.720714,3097.953389,1790.739474,189.8681917
4040.145582,3647.880881,2639.139564,2601.670241,1468.131665,195.5092574
3811.777647,5436.087704,1888.540481,2512.718413,1090.33708,147.2676185
3687.896875,3946.73501,1803.027288,4359.602523,1637.130554,255.4074566
3012.127285,3632.027276,4091.922913,1634.152752,1203.326229,188.7960647
2597.93236,3684.579731,2060.798246,3005.035498,1409.528154,127.3550371
3621.18765,3574.350666,3750.22371,3498.93306,1840.551719,144.7581452
5454.143615,2513.53475,2448.019223,2669.560674,1715.207607,139.5020304
3331.097391,4240.086727,1800.44896,2705.905769,1234.689103,129.7303661
2031.774864,3996.634872,3342.099991,4596.328616,1547.2025,119.2329196
5315.961057,8160.043729,2470.192889,1716.781374,990.3427992,92.07510775
23151.01596,11940.97568,9061.494978,3732.29914,2091.587277,193.345607
12324.3911,12612.2767,7063.214786,3365.899082,1641.583094,435.5249648
10286.89774,12974.93724,9608.820285,4168.717461,2412.83452,133.0746643
18225.24645,11522.00184,4528.48563,4003.137686,2342.257255,329.6908912
2738.960428,8013.139315,5695.133179,2605.106208,1810.26297,190.3041125
7993.584715,12535.26178,4291.577253,3174.627898,1757.055083,207.2938172
7533.376059,4433.902502,5264.175411,2489.563939,1810.656181,181.0869807
7748.840922,6668.497298,1480.960162,1888.056659,1231.716435,140.4067044
6440.813009,2551.307645,2542.970298,2264.430142,1644.514425,248.6431983
3045.972336,3476.604009,2121.751842,2570.667475,1300.62487,114.5326153
2229.896291,6771.927751,3292.088818,2308.343136,1038.771866,145.5783244
3592.619422,3443.560016,2883.905304,2007.420756,1240.379562,99.86942364
2208.316533,3288.977256,1819.411286,1888.150259,1120.78188,122.5878093
2997.280221,3009.904197,1693.041405,1837.839039,739.0241025,93.40473217
3398.636977,2940.025741,1161.332264,1865.489911,1473.592797,99.8838589
2862.204409,3558.371644,1665.239549,2261.671363,1535.413263,151.151897
1907.281782,1681.469854,2448.615626,1841.73011,1583.008164,103.6308161
8472.597863,8250.77885,6424.465388,2447.621699,1403.170593,161.667517
5706.658434,6334.103977,2558.572009,2738.440147,1687.202631,148.1199803
1980.827402,3729.589803,1873.692954,2877.302238,2108.535306,121.4724989
1264.413253,4585.086729,2526.26797,4694.68211,1757.864799,274.513476
4244.332004,6970.759691,5456.410794,4371.959052,2141.767932,246.1758745
3443.667839,4954.206849,1659.182879,2362.69518,1847.324302,80.19328754
2295.074835,5272.081618,2650.452249,2050.862226,1063.816047,140.9048469
3097.918264,3236.585518,3637.985892,1795.310114,1295.345793,85.08538887
3958.529722,2071.97469,1630.096984,2092.149198,1633.792241,161.9586296
1533.720626,3606.59173,1784.24934,3211.739249,1821.865355,240.1035885
2488.095709,2416.842669,1905.5291,3179.208997,1810.10291,168.4187619
3020.042854,5532.809101,4199.832179,1893.588529,1468.551094,237.6716598
3113.477023,4692.939811,2328.925443,2730.314462,1654.459933,198.0872978
2565.04724,3897.358399,2567.896516,2742.152917,1200.615544,129.981312
4675.861643,5224.109879,4640.395952,2995.578551,1180.427716,173.7724957
4137.479333,2933.257361,946.1665377,3196.940419,1545.474103,195.3308303
3794.471587,5689.875686,1887.939529,2524.483529,1355.070203,78.27009917
1118.781237,2559.415699,1458.029861,2284.302394,1578.362438,100.52441
1931.5318,2502.96079,3627.707717,2753.921327,1217.094035,98.86813153
1654.021108,3635.921427,3066.971512,3688.981371,1416.957172,90.95186847
3144.961365,4231.657717,1665.916105,2651.667799,1753.384245,234.1413261
2453.271248,2585.083579,2183.596763,4059.205152,1690.802768,165.3875705
3659.497937,3603.824916,2126.742272,2725.99865,1392.650633,141.6072466
1817.057512,3891.279387,1432.603243,3220.776639,1138.704723,186.4233004
3362.852306,3018.586255,1735.299064,2313.287982,1213.090225,121.75365
1536.462822,3128.774385,1505.063339,2810.128041,1649.320708,159.4818361
2830.931468,1882.789631,2795.99677,2147.890242,1212.196738,87.09982016
1519.958399,1941.939055,2860.444283,2941.386339,1361.543198,213.6966661
2298.13865,3549.604744,2295.27555,2899.642137,1743.05463,142.7840517
2526.628327,2065.062163,1936.849805,3061.136358,1272.09528,130.4812087
3145.19435,4280.720445,2660.536464,3154.478836,1593.879399,146.4293109
1926.066202,3462.955433,1548.347629,3198.574038,1727.592052,149.9215614
1407.921342,2430.833091,2647.119263,2073.484461,1322.909061,132.8151995
2625.207196,3057.343222,1881.159785,3694.080904,1780.088593,157.2143826
2182.547146,2740.922995,1846.104043,3478.624346,1323.28995,117.8049888
3955.823532,7766.531868,4151.811623,2962.395176,1395.250559,103.0761265
4398.034148,2658.896379,2344.235356,1725.38453,1481.213192,88.01233787
3665.06011,4450.470557,1572.289267,2694.107286,972.1234362,127.7797042
2263.147305,1743.10583,1692.409595,3097.248189,1396.460612,185.8880596
1824.609977,3526.565343,1995.453089,2278.059522,1365.73225,179.9680006
4532.400041,6091.59057,2959.331535,2888.142316,1656.319271,139.7063741
3409.655677,3007.972399,2424.538908,2971.87605,1124.337533,162.9919913
4530.814298,6574.450745,2692.641117,3043.951802,1654.827856,169.2109053
20969.1892,19041.99088,6693.460564,3609.694415,1978.018459,178.8126864
7077.217141,10879.10834,5791.528991,2348.862197,1328.985905,283.2481371
7341.571327,9820.155313,6077.397026,2553.545113,2128.052239,215.5071965
6029.905387,7021.90731,5788.112839,3164.254931,1977.827844,119.9844513
8235.003832,5791.886776,5215.370512,2637.336517,1469.294955,124.8825622
7407.486639,10537.82354,5164.206887,3399.999669,1877.271753,161.2927726
9173.569526,11613.06597,5118.741149,2598.459564,1789.209524,227.015806
26564.10218,8849.004218,6475.623365,4004.104558,2062.909653,474.5883616
9831.44427,12492.91036,5952.796402,2028.41856,1991.958335,215.3337121
6837.835696,15769.27033,4032.206903,2838.281979,1670.225085,150.9446355
1027.895272,2267.028521,2255.689679,2677.159215,1678.416489,185.8604144
3325.689279,3361.222844,2238.227495,2422.866438,1317.824483,164.5648845
792.6779511,3219.342689,2452.923077,2011.512375,1650.931226,94.27374447
2160.963354,3650.420532,2629.215314,2267.513664,1333.556573,176.5811714
2279.316411,2816.983347,2481.28847,2492.317871,1306.163593,109.2752785
4853.051308,6060.635494,5044.168358,3010.701548,1361.870269,166.3914949
3331.66723,8952.757589,4046.789934,2423.882693,1335.219717,158.2550547
2167.220389,3418.597362,2221.866194,2182.744397,1334.036967,119.9779835
2448.984866,5628.28629,2931.123363,2179.462158,1151.476489,137.6115452
1721.1027,2040.377946,2320.516071,1971.176426,1393.495649,83.6853221
2801.17142,2709.443365,2760.315311,3956.913713,1615.92756,129.6994492
2477.603821,2969.822385,2525.148567,2605.146814,1541.716535,143.0871794
1945.528989,3476.057655,3156.579704,3494.84012,1144.398853,180.9752593
2779.360649,2163.175725,2926.490624,2619.345572,1397.332156,106.37717
1798.482101,3043.652079,1013.438163,1904.005636,1232.354904,118.1502239
2248.012605,6198.397373,2760.033743,3330.29279,1715.566395,217.6018767
4516.748327,7093.996963,2988.573641,2148.032493,1728.698805,148.8767921
2657.998728,4402.338975,2460.452222,3333.272852,1135.027447,165.9811222
3225.848939,5652.584601,3002.885875,2708.693666,825.4864218,128.2699128
2100.847886,3089.113921,1422.261693,2999.095335,1331.12064,167.749128
848.5578477,2768.524125,935.595882,3656.464003,2152.298615,198.9275127
1067.010746,4099.402059,2713.856442,3108.485702,1385.597758,156.6118124
8552.111731,7804.891065,2718.086675,2494.363302,1228.043203,205.3081055
2713.794881,1894.61933,2097.511773,2132.675531,1373.906757,127.7719336
3924.597042,5821.991327,2319.873005,2426.609107,1142.237199,295.548859
4256.996331,4066.551935,2813.102313,3283.793174,1337.040123,251.4483413
2662.697435,4531.79827,2072.82468,3425.045371,1785.73155,115.355169
3346.768929,3730.928445,3599.944455,4136.322051,1803.278204,183.721149
1066.632383,1784.317687,2639.79549,3196.631244,1271.564893,162.0480574
2705.088081,5067.20525,1996.12793,2470.824303,1213.596214,166.1456904
4476.057549,3075.733629,1023.390952,2538.038908,1413.115231,243.6743778
1933.055701,1841.388542,2106.974674,2962.657513,1237.55031,312.0726465
1057.222002,1711.204842,2113.403993,2951.214395,1715.992977,143.3058373
2380.648846,4476.813502,2355.69887,2490.186428,1990.560796,139.3891506
3343.075053,3065.804387,3034.832023,3194.526824,1880.030669,163.0410438
1129.171643,2754.040801,1624.192167,2380.666681,1241.278696,161.9620665
3222.043224,3369.357592,1164.988198,2050.883436,1371.558019,146.1342733
1444.131838,3377.206723,2663.124902,2625.229221,1068.682659,129.3265309
2513.191327,3574.973413,2822.809393,3208.169368,1818.86598,190.2413539
3332.823574,8286.309668,3343.823901,2787.155041,1340.464909,168.969491
2118.924983,2032.225381,2072.162899,2434.712685,931.1741964,133.6905061
3825.279756,4918.685758,2371.936086,3096.33638,1864.233682,202.9067228
3941.931334,2532.751697,3485.864067,1784.632232,1198.911224,117.8049433
2710.800203,3739.019441,1712.401156,2829.73235,1382.891811,235.0616906
4283.729624,4671.425463,1930.368412,3811.0767,1935.290511,117.9356372
4898.061779,3401.245097,1868.982389,2457.828768,1636.277428,149.6120974
2377.879004,4422.346608,2770.609475,2454.489594,1324.977731,106.8706079
2188.613184,2936.746516,2662.330276,3812.487974,1256.161717,115.5479595
1617.853108,1643.295345,3122.068317,2792.497382,1274.348343,154.1897965
3654.245365,5900.267003,3752.499845,3042.465208,1968.168698,208.488694
1905.897423,4199.259711,2507.322977,2257.785249,1429.464241,234.7404052
10962.2812,11147.07838,7720.565957,3513.190616,1621.794473,120.2783858
10604.66977,11908.6249,4865.262772,1920.372955,1509.413118,102.3206043
5053.596339,5774.422921,5027.581279,3836.355037,1387.671554,321.6871698
9342.479633,8412.469645,3037.502999,2769.885407,1618.698836,201.5637061
12162.7068,10238.78762,5440.032002,4006.905386,1427.206497,206.791649
10458.18635,13300.41971,7808.746534,2880.036512,1585.6346,128.4085883
2145.711837,9086.269172,5418.48031,3438.267593,1826.209868,233.5945751
9393.44158,11011.2153,3622.389966,2584.846597,2498.163639,102.4156085
8285.515352,3099.925009,1566.680328,2369.522173,1814.401388,111.5082631
1469.767339,3015.877346,2848.203073,2188.414717,1700.308885,78.49367704
6367.944382,4290.452231,3004.692498,2398.895118,1316.051161,195.1440453
3270.901722,4483.15155,3099.024052,2220.098112,1210.142724,108.3648253
8294.761009,9804.902293,3105.05591,2777.586816,1484.166828,117.6917559
1608.362153,2777.928406,2843.965907,2252.761145,1527.825668,218.4944432
1945.28387,2550.554923,2570.001984,3240.970331,1112.147143,253.8634773
6987.122337,4863.573802,4369.607661,2642.36953,1621.214997,134.0285491
1964.342794,1818.951493,1609.331691,2366.961162,1501.292448,99.30546133
1150.721452,2362.013991,2609.845278,2957.637839,1912.723608,133.8996646
2913.238159,5804.632337,2673.598348,2723.738578,1362.376959,227.256266
4643.770585,4357.983928,3317.38026,2690.338011,1040.950736,246.954171
2916.163484,2233.335955,1460.519843,2554.5703,1528.601575,133.6059386
3693.558063,5389.168265,3558.489092,1946.045069,1333.212162,139.1865507
7595.843571,10592.97082,4101.665959,3510.615688,2161.164809,324.7035602
10235.09113,6153.543071,3291.405371,2231.493139,1234.878615,142.6787152
2364.606992,2922.440098,2030.805075,3121.305326,1224.832578,151.481615
3886.168801,9444.662539,3482.52223,2749.166102,1203.673176,140.0944881
1014.101122,4279.976695,3448.108875,3114.30288,1522.436019,233.9088561
2707.763147,2872.215197,2252.067979,2927.877152,1926.967171,110.0184767
1374.806883,1843.233852,1116.739811,3043.417921,1226.058086,98.60668985
3740.864444,5627.887541,3178.924863,3164.127802,1414.114748,156.9872996
3038.686819,3422.614431,1815.952854,3182.614437,1803.354779,186.5011213
1324.589959,2147.848499,1706.281709,2812.899002,1890.054838,179.5368701
6873.749814,6887.579335,2956.492786,2426.145358,1067.461532,153.784535
16414.08671,17046.42152,3952.224158,2766.680363,1529.14389,132.5818387
8801.057495,6246.760094,7650.623548,2230.006186,1910.017659,115.1157484
3708.613619,3348.744693,2149.921225,2218.420377,1295.029524,151.1180316
7958.566648,8700.257119,5878.018261,3228.084281,1486.226885,205.1374572
1915.164964,3939.574587,1570.613107,1594.468288,1179.121274,201.3701415
2466.556024,3064.488633,1247.022191,2621.089888,1226.513743,160.016656
3709.661762,6144.674251,4703.711598,3986.213837,2018.055205,217.3612922
1972.984483,2889.220883,1889.920538,2315.279076,1119.432742,116.0582474
2550.343498,7608.312052,3739.725545,2810.589805,1298.530157,152.6845243
3139.757404,5990.883449,2148.565496,2339.798184,1220.975551,204.0220782
2005.332051,2760.642751,2838.241967,2646.71373,1248.645761,127.4177137
3859.348682,4975.744996,2059.751914,3135.360877,1488.39753,187.1576333
4296.472904,1962.560222,2002.325919,1749.701414,1452.26409,239.9454772
7263.459668,5393.240697,2250.025102,1903.034706,1181.270096,87.23945588
1444.527993,3241.099166,2134.782913,2315.166062,1537.917337,124.9888895
1406.613943,3173.919453,2142.124053,2495.238278,1485.381983,186.3029417
6415.358997,8466.371834,3150.512934,3034.015669,1434.527998,263.1503838
5436.628555,4031.268236,1888.328592,3075.691569,1490.145473,210.965824
1361.753902,2479.850819,1924.771612,2441.838826,1415.85445,126.6524442
1789.523627,2801.648252,1818.933666,2810.051523,1362.024723,110.4461244
2322.694941,4192.88544,1181.017374,2125.468791,1612.631803,111.4516938
4877.33178,2759.880245,3616.565178,4759.117597,1946.753583,170.6701967
3409.353026,4421.29094,2103.1498,2305.490497,1756.988573,177.0790905
11024.70003,11246.02257,6451.29347,4743.922804,2176.100112,158.6868544
2358.734826,2184.806798,3638.851779,2824.520068,1573.441273,196.9346471
3832.959893,4069.464938,3103.040688,2437.785831,2253.833447,153.9210815
3485.139928,3573.50588,2794.306168,2618.979183,1154.164605,112.1897363
4339.302358,7375.395412,6559.327402,3011.775289,1515.961672,133.392217
14617.5508,16396.67703,6455.590675,3430.915457,1739.295657,197.7197137
12016.77174,11094.5024,7348.315015,3392.518842,2014.060205,222.6117929
7840.580538,9852.902847,5079.091944,3256.565022,2007.530901,143.8917356
11039.04423,8838.530771,7258.253072,3616.789991,1765.209189,261.1014525
7733.71254,5311.322785,2189.852533,3666.601655,1758.686743,128.0759222
11468.19861,9669.855803,5524.187824,3455.239299,1939.108404,168.3994207
6027.338817,5400.430584,4907.807339,2951.381044,1387.450695,269.8579696
44495.99663,25722.08782,6718.410478,4335.442246,3197.944894,217.7377473
5795.330695,6494.46595,3741.975153,3286.633469,2038.391133,128.8562336
5325.849303,8743.416989,7000.474567,3615.462124,1554.564974,173.7052315
3417.967865,3523.082237,1740.5546,1981.183153,1901.166396,262.8491655
6615.807783,4759.589925,2266.010906,2707.684522,1584.819266,254.4094626
3578.851589,7475.426535,5521.079918,3673.663019,1362.934209,192.451884
2345.140942,2367.882457,2300.847545,3348.156859,1681.639512,128.0421113
826.2658509,2611.559879,1547.193369,2923.475612,1336.528673,148.2155609
1572.329083,5712.870364,4889.357947,3162.950303,952.9133181,124.6803953
3202.08567,2930.678742,2912.215154,3326.580377,1221.244941,136.9015877
1253.043479,2451.921415,1791.047528,2735.889167,1146.407549,98.20458161
2590.401975,7691.971419,2618.094709,2709.251244,1234.871726,121.1351435
1971.395298,1084.889994,2358.546393,2741.435909,1572.660934,170.4876728
3227.350627,2774.405415,2511.010565,3128.63153,1236.102182,245.4424322
4239.256615,3476.466905,1742.672979,3782.072276,1601.680225,335.7488081
3367.354461,2247.001846,1899.051811,2361.826031,1292.487836,174.6671114
1350.529453,3758.534463,2005.206916,2694.701877,1371.642668,105.5703484
1742.969727,3937.089626,3374.114413,3541.578058,1419.878817,124.6165944
1786.215997,2976.734332,2167.284134,2428.81893,1464.735474,155.125437
2462.082519,3063.783982,2035.497405,2951.899548,1340.487191,131.8920607
3217.466156,7029.821566,3995.917078,2616.543519,937.4480793,111.4818186
1325.000218,2705.031899,2353.444926,2327.009087,1594.033174,146.8212004
2523.867461,4653.147254,2196.691318,2962.480364,1149.572934,188.7472028
2405.632023,3323.124437,1828.778273,3384.775352,1513.225794,175.4012781
2202.697967,1645.138534,1938.132824,3003.657143,1597.941619,184.8052215
1764.001098,2648.197194,1787.969955,3013.596653,1504.26266,132.9928467
2573.084625,4600.988873,1688.639843,2649.38654,1963.154633,213.953006
2253.182712,2439.170932,2243.62864,3584.39404,1550.13743,413.0688689
1845.663836,2186.729218,2039.936646,3416.229175,1749.129903,112.6846832
1256.590185,2865.505876,1879.605176,2851.502371,1560.455508,225.6984204
3265.28473,3808.405504,2489.931337,2788.560069,1970.966763,125.7696408
5207.107958,2584.564092,2775.512737,2556.404776,1456.132082,232.5441171
5360.287445,3999.555118,4190.530101,4148.067341,1558.182898,167.127856
4062.791503,4303.549455,4921.843578,2653.138845,1285.322551,93.25059507
4173.882896,8285.673538,4506.360927,2485.846738,844.3186216,129.4010227
1703.955224,3474.54178,1850.068229,2346.697992,1500.493452,80.07503011
2222.226478,6619.113479,2309.038637,2593.719185,1761.985579,98.91040877
2812.42883,5753.766477,2294.772943,4211.296742,1540.171541,165.9078686
4762.76696,6038.76478,3228.832617,2167.092486,1508.271517,117.1713958
4291.352193,6767.103349,2923.520624,2989.275276,1619.326225,116.2717637
7735.321945,5332.676597,5855.130349,3866.588081,2030.678781,124.2820091
3400.143439,4150.139572,2512.235377,2676.16733,1445.121135,144.1186793
11015.38419,10597.68314,4101.331214,2350.39215,1700.535905,171.1646049
3500.071529,2386.51804,2116.560596,2531.869062,1568.715885,252.3694907
5551.706852,2054.427326,2136.306289,3196.33237,1561.915188,116.1662955
3755.216443,4390.756041,2919.209684,2083.133701,992.5382699,97.35730534
1078.337917,2318.230914,2607.587581,2580.692966,1290.744399,142.4698446
813.2560862,2548.295513,1437.649436,1993.448945,1533.390356,84.15010503
3474.763302,2790.294582,1839.588709,2345.540624,1657.802683,114.1565631
3725.604021,5777.273167,4513.929092,3612.472107,1449.446815,113.2210732
3618.929998,4112.161101,2917.005925,3756.101866,1776.778932,188.9561856
1129.795107,2074.939122,1701.856163,2755.250913,1480.163026,198.146003
3892.176777,8571.955222,4968.611597,3257.886867,1892.105677,172.1685487
4502.737898,4827.78244,2354.783316,4191.61698,2330.39227,133.8115121
3143.322246,3649.761695,4339.82404,2099.253566,1700.771071,126.494947
6534.453,6076.891039,4563.437935,2580.726826,1437.708447,138.0184433
5832.115504,27067.18928,3536.657662,3590.833149,1729.111157,151.8107024
5211.012271,7612.999563,4621.944393,3668.677625,2389.632937,199.0073655
22311.47729,37464.54051,5349.454807,2722.745568,2441.282881,222.6994823
20735.7833,28878.07042,12433.13951,3244.452221,2150.910877,174.6336267
10184.23384,9872.6092,5903.433774,3229.436848,1738.905008,185.1644916
12265.71922,17447.99997,9383.411697,3109.943825,2997.173577,195.2566961
7001.203283,13096.27757,7075.547183,2279.408629,1312.976661,203.1063957
5300.687189,6144.497644,4948.466401,3914.376186,1804.873092,304.0361836
6853.0686,7688.407485,1800.265269,2171.381206,1462.767999,207.7160073
5980.360279,8433.461375,3931.589957,3596.075088,945.2358476,196.090626
2402.744269,3540.649437,2006.485579,3379.950244,1582.720281,184.089216
2288.834055,3855.013266,1970.810733,2117.750622,1013.502896,143.7028529
1159.560078,1676.415547,2010.926132,1432.616184,1091.590471,96.086024
4453.072823,7157.059235,3759.583467,3210.391103,1427.995392,150.5844593
2141.719105,2226.422988,1650.383339,2220.708678,1339.643771,152.6248416
1382.167563,3098.688431,1558.230519,2458.83208,1301.134423,156.6049734
4266.926663,4405.893077,2146.065826,2293.697718,1281.736571,220.204571
2038.175806,2208.280119,1716.550147,2154.469093,1300.72275,183.3741466
2677.941765,1674.137049,2165.041234,2911.934295,1569.081671,100.0474626
3293.466323,4245.434976,2790.448738,2367.893906,1368.571712,112.2269312
2579.704307,2644.176402,1883.24842,2144.019529,1329.9465,190.5753553
2701.671431,3496.159982,2728.979195,2315.628443,1417.99924,106.6231461
1631.329654,2346.002949,2423.446092,2710.651672,1332.525013,207.9736456
7394.202904,11472.44128,3424.877924,3135.378209,2283.677594,146.4696609
2841.19809,4923.01953,3564.571889,3074.012019,1879.773378,187.2072537
1703.766911,2599.671166,1215.685641,2186.47611,1279.718148,149.4969245
1919.17807,3574.418083,1156.77335,1733.3513,1155.318664,124.1559613
6061.469279,3100.557553,1730.383962,2231.984073,1341.070054,167.1798568
3886.358342,2201.884812,2458.036612,3968.460274,1565.251048,192.1204063
3432.785821,3471.071999,2091.333964,2672.442941,1311.909441,188.7702167
2748.092739,5604.308042,1435.902694,2755.102681,1659.450975,239.1427171
1953.97333,3611.203509,2743.269591,3271.353929,1563.543759,161.3990245
1578.094966,2494.202929,1064.038385,4155.149618,1569.99675,194.0838354
3455.404866,4820.546889,4768.095809,3203.772463,1236.579789,280.6816909
5121.19748,4907.382736,3760.584088,2486.682799,1827.491912,157.4042116
3368.196997,3508.437218,2700.160508,2682.696662,1479.384774,138.3597938
1006.068421,3039.205436,2317.453218,2830.552274,1525.449967,113.4639687
2705.620638,4982.865287,3376.884864,3499.412626,1208.035434,133.6503435
2269.501219,1830.610686,1810.685224,2869.779374,1278.661069,152.8934138
2011.798999,2090.159094,1801.347108,2535.111703,1669.719196,185.3896439
4042.648025,6036.307061,2539.096778,2709.420293,1639.307578,146.9232633
2171.814017,2503.180245,2261.541078,3932.266323,1802.972057,219.4811699
1516.07788,2615.878039,1506.136217,2862.354579,1936.597289,182.2944934
3735.785279,6600.284617,4038.545599,4214.026811,1189.765197,264.7790782
2961.108704,3462.740364,2715.693764,3702.989566,1563.294286,158.5363921
5517.864547,8266.644889,2957.738735,5059.69743,1871.560698,216.8734635
2663.45965,3982.455818,2881.361593,2159.373062,1408.804231,115.0541555
4153.095186,7799.678581,2559.955056,3194.701122,1528.211766,133.9060076
1098.904903,2342.946721,2532.563904,3018.474886,1258.447766,169.2363064
3391.49365,4082.804453,2128.838546,3396.449431,1516.659585,116.0811453
3513.356686,5086.128868,4197.88099,3733.791116,1598.328321,189.849348
8918.50824,8228.79162,1560.45948,3028.949558,1664.393245,120.5197379
2766.83038,2819.117209,3672.411814,4424.892138,2049.088189,221.8161295
2982.635007,2255.350714,1623.09549,2662.13267,1453.419732,140.0007701
3938.098834,3372.163219,1477.900311,2589.985594,1238.215894,251.8223613
5404.136182,2372.516828,2551.861585,2290.764317,1589.3244,90.32569662
1857.593057,1913.102348,1398.186233,2572.288455,1167.461574,223.2692116
5742.60007,5467.70103,1614.601215,1373.365989,1179.64135,139.9189602
2896.657761,6542.581025,4591.000181,2596.724242,1738.614022,243.4851076
9513.063235,8217.248661,3599.193617,2945.844069,1290.951165,315.328769
18843.85204,16786.47892,3500.247473,3520.457605,2105.737696,154.5933828
2460.010686,2965.354196,1614.981013,3245.481818,1621.712669,133.3362962
10687.0665,9186.643643,4392.000567,3296.159934,1457.944382,133.1806954
3908.524109,6658.936312,2935.72299,2251.469742,1650.704624,278.2305034
9232.085689,5805.488063,7487.006891,3408.196504,1902.541191,192.3514819
3722.015768,7009.989063,4844.7149,3673.645371,2008.821654,131.4591158
5496.639223,7224.832835,2919.526925,3318.017286,1810.014607,230.6030398
2406.925243,3404.121753,2691.824693,3759.951858,1903.359549,155.4415167
3399.538475,4270.777752,2605.203998,3556.552094,1969.907603,195.8029053
2470.504138,3265.486408,1817.327194,3610.604843,2026.856878,256.062135
5187.753588,3992.532463,3418.969275,2716.328844,2229.03886,147.9532706
3056.129759,2308.542543,2295.012273,2507.805347,1756.854121,170.1431996
7346.506571,6794.74726,2309.957172,2432.670287,1791.089386,74.22293747
2664.986978,6159.281913,2831.355492,1901.251201,1022.985452,203.3092647
2626.017215,5501.478964,2435.492215,3113.220428,1274.711874,136.3180247
4267.147749,5020.148908,2843.221124,3689.680159,1459.504564,175.0596707
1917.643889,2299.363091,2517.409258,2499.58258,1141.504642,161.4808817
733.4997585,2814.892862,2944.529237,2119.428806,1349.077137,156.156126
2552.924084,1633.661527,2616.348965,3438.01019,1801.363903,115.8553433
2718.579055,7090.578426,3263.977964,2402.540355,1272.795463,107.8546151
5836.926666,4302.59115,3071.038021,4947.467663,1473.657274,161.5737003
3812.514899,4328.06956,2279.640763,5555.020913,1601.253932,277.5325199
1361.584022,3541.163806,3168.49205,3667.447254,1658.01243,193.6555598
2788.875771,2638.568815,1827.606818,3079.167182,2035.608644,230.6541541
498.8892224,3373.298885,1743.610829,3108.012888,1457.182042,121.9753238
3137.499545,4539.085864,1794.429244,2635.510816,1583.55308,115.4096394
3098.472423,2689.713527,2351.728591,4530.518841,2096.968082,195.7267981
2263.694514,1982.119601,2074.223129,3395.685694,1952.672563,253.9535694
3115.426651,4137.548139,2298.564404,2822.256177,1733.497664,478.70795
2300.415336,5800.019263,3482.535325,2862.744626,1166.501662,106.9422723
1838.379589,3080.751712,2675.635081,3241.470031,1567.586422,201.9866525
2690.361903,4138.510462,3916.647776,2718.761205,1415.028822,205.7472383
3795.763617,3863.568353,4670.926343,3888.383099,1230.586703,131.4072932
2351.887249,3463.419136,1995.479296,3282.423514,1395.382513,196.5544777
3340.413602,8640.122029,1911.953291,2593.32209,961.0798589,130.8878714
1623.018737,2263.49709,3253.790062,3968.195093,2010.444703,154.9942784
1403.493318,2732.028435,2295.567834,3301.171447,1399.014923,196.0513897
2763.196542,2005.101897,2153.957324,2787.237752,1107.962597,134.9946344
2777.287654,2002.486712,3307.813321,3424.948166,1500.349285,105.5473413
3261.900086,3162.978408,1546.794766,2985.959626,1555.002674,123.4457527
1010.836963,2260.727442,1995.981598,2750.325186,906.4216511,129.922856
2216.222272,3542.607728,1955.083056,2591.056248,983.1045089,212.7185008
2181.349637,3218.830971,2303.504923,2915.190415,1577.321708,211.6652771
2132.824304,5535.717653,2163.568464,2210.571749,1608.779633,183.1766218
6059.436368,3415.537338,2588.845406,3297.587288,1840.078318,146.0506623
2874.603853,5216.08266,3276.616562,1794.354891,1378.344663,136.6148524
3426.96793,7119.256486,4793.046116,3181.387606,1524.607402,122.3446042
1750.827803,6465.588546,3092.143802,2797.694652,1422.292421,170.5235813
4035.441097,4381.634433,3412.204573,2213.74753,1535.227717,172.2636356
1538.310032,3129.14567,1150.516754,2721.133571,1409.514892,179.5967958
2449.916922,3050.351795,1754.931492,2035.691249,1029.889474,117.6419007
4511.202114,6739.446532,2904.003046,2690.03687,1398.941241,196.740563
2452.284105,3542.591113,2519.790409,3002.215282,1887.903526,144.2191871
5982.492213,5872.193386,3498.201123,2376.639103,1331.511155,187.0784149
666.5758662,2921.233575,2717.084999,3480.326617,1216.274383,172.5230102
2854.551209,5149.644523,2669.633361,2597.592267,1409.911295,116.4907008
1090.418404,1967.424107,1973.067598,2317.284942,1627.579419,234.4491053
5189.046952,4893.868454,2966.520288,2114.928424,1388.934326,140.5413058
5990.516198,7459.317516,3160.854976,3978.237642,1437.374739,153.670007
4272.521181,5175.773094,5268.151604,1845.200719,1395.960127,262.793279
